ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9617,3.9648,8.5145,-1.418,4.0925,8.7983,0.251,-0.4543,0.5964,0.0539,0.2712,3.0E-4,6.4,23.44,-12.31,-39.81,293.49,-24.67,9.16,2.0,,,,NaN,,,,0 / 0,13,2020-12-03 18:33:36:417
-1.6001,3.9501,8.5109,-1.5247,4.1718,8.743,-0.564,0.1332,-0.221,0.0943,0.1413,-0.1716,6.4,23.69,-12.5,-39.87,294.54,-25.18,9.89,2.0,,,,NaN,,,,0 / 0,113,2020-12-03 18:33:36:517
-1.7002,3.9764,8.6872,-1.3026,3.9669,8.8733,-0.2271,-0.054,0.0899,-0.4763,-0.4623,0.2633,6.4,23.69,-12.5,-39.87,294.54,-25.18,9.89,2.0,,,,NaN,,,,0 / 0,213,2020-12-03 18:33:36:617
-1.1777,3.3204,9.0493,-0.9327,3.7182,9.0263,0.3149,-0.2761,0.0644,-0.0371,0.4618,0.3351,6.9,21.06,-11.25,-41.75,298.54,-23.86,8.35,2.0,,,,NaN,,,,0 / 0,313,2020-12-03 18:33:36:717
-1.1777,3.3204,9.0493,-1.2939,3.7466,8.9698,0.1661,-0.2653,0.4739,-0.0371,0.4618,0.3351,6.9,22.63,-12.0,-40.81,285.73,-22.28,5.9,2.0,,,,NaN,,,,0 / 0,413,2020-12-03 18:33:36:817
-2.1192,4.472,8.0754,-1.9076,3.8842,8.8002,-0.1321,-0.0792,0.9671,0.0656,1.0649,0.5236,6.9,25.81,-13.19,-37.12,279.43,-22.46,8.21,2.0,,,,NaN,,,,0 / 0,514,2020-12-03 18:33:36:918
-1.546,3.234,10.5144,-2.1946,4.0711,8.6475,0.8805,-0.933,1.6396,0.3626,0.4964,0.415,7.7,27.13,-15.31,-35.75,281.73,-24.53,14.24,2.0,,,,NaN,,,,0 / 0,613,2020-12-03 18:33:37:017
-3.1511,4.2587,7.5705,-2.3465,4.5475,8.3656,0.4146,-0.4679,-1.0989,-0.0419,0.2994,0.4118,7.7,28.19,-18.25,-34.12,278.76,-27.63,15.67,2.0,,,,NaN,,,,0 / 0,713,2020-12-03 18:33:37:117
-3.0137,3.3807,5.7975,-2.7593,4.3753,8.3314,-0.5552,-1.4431,-2.3199,-0.0419,0.2994,0.4118,7.7,28.19,-18.25,-34.12,278.76,-27.63,15.67,2.0,,,,NaN,,,,0 / 0,813,2020-12-03 18:33:37:217
-3.0137,3.3807,5.7975,-5.1644,3.815,7.4124,0.6141,-3.001,-1.8226,-0.7244,3.2293,0.0567,7.7,34.81,-14.87,-29.19,278.88,-26.5,18.32,2.0,,,,NaN,,,,0 / 0,914,2020-12-03 18:33:37:318
-5.3864,1.0026,4.6616,-7.3459,2.8503,5.838,3.8744,-3.7034,0.4087,-0.5199,4.1449,-0.4362,7.8,41.56,-13.62,-19.5,276.07,-22.89,34.87,2.0,,,,NaN,,,,0 / 0,1013,2020-12-03 18:33:37:417
-9.9926,-0.8956,9.173,-8.9896,0.9418,3.8039,-0.562,-2.452,4.8749,0.5931,0.8392,-1.3502,7.8,48.63,0.25,-2.44,291.7,-16.9,51.52,2.0,,,,NaN,,,,0 / 0,1113,2020-12-03 18:33:37:517
-9.9926,-0.8956,9.173,-9.2144,0.249,3.347,-1.514,0.2903,2.9194,0.5931,0.8392,-1.3502,7.8,48.25,3.75,0.75,286.51,-1.45,70.04,2.0,,,,NaN,,,,0 / 0,1214,2020-12-03 18:33:37:618
-12.8214,0.5082,3.6258,-9.2558,-1.4957,2.8744,-14.9175,3.8002,-3.708,-0.4843,-0.2515,-2.0316,16.1,48.25,3.75,0.75,286.51,-1.45,70.04,2.0,,,,NaN,,,,0 / 0,1313,2020-12-03 18:33:37:717
-11.5764,-3.0457,2.2496,-9.3465,-2.5822,1.4644,-2.2939,-0.8696,3.7918,-1.559,-1.568,-1.8282,16.1,47.25,11.0,10.19,280.79,8.77,72.75,2.0,,,,NaN,,,,0 / 0,1414,2020-12-03 18:33:37:818
-7.0685,-0.2083,2.1639,-8.6541,-3.6653,2.8003,0.7891,4.0281,-1.3979,-1.4712,-1.2869,-0.5001,16.1,46.06,17.69,0.94,271.72,21.95,72.07,0.0,,,,NaN,,,,0 / 0,1513,2020-12-03 18:33:37:917
-4.7078,-3.6436,5.2115,-7.2983,-4.8223,4.4328,1.8654,2.8021,-4.0699,-1.4712,-1.2869,-0.5001,16.1,46.06,17.69,0.94,271.72,21.95,72.07,0.0,,,,NaN,,,,0 / 0,1613,2020-12-03 18:33:38:017
-4.7078,-3.6436,5.2115,-6.7091,-5.5266,4.5401,1.1291,2.7808,-0.4115,-0.8106,-0.3532,-0.7519,4.1,43.56,22.5,-9.94,265.92,29.46,58.73,0.0,,,,NaN,,,,0 / 0,1713,2020-12-03 18:33:38:117
-7.9738,-3.4793,3.6843,-6.6886,-6.2491,3.5186,-3.3141,-2.214,-2.3222,-1.4579,1.3646,-0.1924,4.1,42.0,25.38,-7.62,265.01,34.3,55.91,0.0,,,,NaN,,,,0 / 0,1813,2020-12-03 18:33:38:217
-9.5344,-9.2033,1.8099,-7.0282,-6.605,1.7742,-2.543,-2.6818,0.2066,0.03,0.8807,0.2191,4.1,41.81,26.25,3.38,262.92,39.59,62.25,0.0,,,,NaN,,,,0 / 0,1913,2020-12-03 18:33:38:317
-5.2471,-8.5419,1.5507,-6.9567,-6.8182,1.1334,0.808,-1.0956,0.21,-0.1409,-0.0812,-2.2131,0.0,40.25,27.31,8.31,254.56,42.34,75.83,0.0,,,,NaN,,,,0 / 0,2014,2020-12-03 18:33:38:418
-5.2471,-8.5419,1.5507,-5.7977,-7.8585,0.8941,-0.145,3.5239,-0.1979,-0.1409,-0.0812,-2.2131,0.0,35.06,33.69,9.19,246.18,53.26,81.23,0.0,,,,NaN,,,,0 / 0,2114,2020-12-03 18:33:38:518
-5.5463,-5.7355,0.4863,-4.238,-8.7991,0.8851,-0.3906,-2.2332,-0.0712,-0.1292,-0.4038,-2.005,0.0,28.56,39.63,10.69,246.18,53.26,81.23,0.0,,,,NaN,,,,0 / 0,2213,2020-12-03 18:33:38:617
-3.5886,-8.7436,0.6627,-3.8275,-9.0206,0.3859,0.248,0.2926,0.2711,-0.1366,0.4021,-0.2323,0.0,28.56,39.63,10.69,250.86,63.8,78.2,0.0,,,,NaN,,,,0 / 0,2314,2020-12-03 18:33:38:718
-1.9664,-10.418,-0.0476,-3.2015,-9.2672,0.1957,0.1614,0.8923,1.285,0.2094,0.1227,-0.1695,0.0,26.25,40.81,13.5,248.78,66.9,84.24,0.0,,,,NaN,,,,0 / 0,2413,2020-12-03 18:33:38:817
-1.9664,-10.418,-0.0476,-3.0489,-9.319,0.1705,-0.0597,1.7287,0.5355,0.2094,0.1227,-0.1695,0.0,23.63,42.13,14.56,243.95,70.91,86.5,0.0,,,,NaN,,,,0 / 0,2513,2020-12-03 18:33:38:917
-3.179,-7.2082,0.7398,-3.8743,-9.003,0.324,0.8048,3.2857,-0.0494,0.5134,0.1328,1.1783,0.0,27.81,39.63,13.13,227.3,71.86,86.8,0.0,,,,NaN,,,,0 / 0,2613,2020-12-03 18:33:39:017
-4.6734,-10.6808,1.3008,-4.3559,-8.7468,0.8301,-0.4983,-2.0993,0.3564,0.4745,-0.2691,-1.1554,0.0,27.81,40.44,10.56,253.98,63.12,79.21,0.0,,,,NaN,,,,0 / 0,2714,2020-12-03 18:33:39:118
-1.7334,-8.2866,1.5749,-3.074,-9.2387,1.1687,0.1124,0.2166,0.6651,0.6747,0.2334,-1.2134,0.0,20.13,44.75,9.38,271.82,70.41,69.18,0.0,,,,NaN,,,,0 / 0,2813,2020-12-03 18:33:39:217
-1.7334,-8.2866,1.5749,-2.3371,-9.3992,1.5369,1.4349,-0.5839,0.1792,0.6747,0.2334,-1.2134,0.0,20.13,44.75,9.38,271.82,70.41,69.18,0.0,,,,NaN,,,,0 / 0,2913,2020-12-03 18:33:39:317
-3.1041,-10.0362,0.9871,-3.2788,-9.0215,2.0079,-0.8889,-0.2457,-0.4879,0.4809,-0.5896,1.2576,0.0,23.06,43.44,6.38,260.37,73.43,56.67,0.0,,,,NaN,,,,0 / 0,3019,2020-12-03 18:33:39:423
-2.9321,-10.5666,1.3652,-3.3039,-9.0143,1.9988,0.2835,-1.8906,-0.5572,-0.4081,0.293,-0.6002,0.0,25.5,42.56,6.31,267.99,66.92,58.52,0.0,,,,NaN,,,,0 / 0,3114,2020-12-03 18:33:39:518
-2.2774,-8.9116,1.4403,-2.3463,-9.4254,1.3513,-0.9683,0.315,0.6688,-0.5731,0.235,0.2569,0.0,19.81,44.75,9.13,289.16,66.81,58.83,0.0,,,,NaN,,,,0 / 0,3213,2020-12-03 18:33:39:617
-2.2774,-8.9116,1.4403,-2.3266,-9.4829,0.9116,0.3947,0.0391,0.3141,-0.5731,0.235,0.2569,0.0,19.88,44.06,11.13,260.56,75.24,68.6,0.0,,,,NaN,,,,0 / 0,3314,2020-12-03 18:33:39:718
-2.2302,-9.7389,1.0933,-2.2447,-9.4855,1.0746,-0.148,0.3654,0.6415,0.1391,-0.1621,-0.0673,0.0,19.88,44.06,11.13,260.56,75.24,68.6,0.0,,,,NaN,,,,0 / 0,3414,2020-12-03 18:33:39:818
-2.8597,-9.8658,0.8642,-2.2914,-9.4513,1.2613,-0.3563,-0.2277,-0.5356,0.0242,-0.0264,0.0535,0.0,20.19,44.5,9.88,264.01,75.3,64.42,0.0,,,,NaN,,,,0 / 0,3513,2020-12-03 18:33:39:917
-3.9026,-8.8285,2.001,-2.4092,-9.4043,1.3868,-0.2973,0.6862,0.3587,0.4106,0.3127,0.1248,0.0,21.0,44.38,9.19,264.25,74.53,61.17,0.0,,,,NaN,,,,0 / 0,3613,2020-12-03 18:33:40:017
-3.9026,-8.8285,2.001,-2.5547,-9.3325,1.5959,-0.8579,-0.2485,0.081,0.4106,0.3127,0.1248,0.0,21.75,44.38,8.31,263.68,73.53,60.07,0.0,,,,NaN,,,,0 / 0,3713,2020-12-03 18:33:40:117
-3.1996,-9.9616,0.5404,-2.5419,-9.4278,0.9081,0.2766,0.4939,1.4454,-0.612,0.2387,-0.0609,0.0,21.5,43.81,12.06,274.74,72.11,58.01,0.0,,,,NaN,,,,0 / 0,3814,2020-12-03 18:33:40:218
-2.3024,-8.868,0.7827,-2.4435,-9.4674,0.7529,0.3155,0.8866,0.2963,-0.3357,-0.2345,-0.0535,0.0,21.5,43.63,12.94,254.82,74.89,72.87,0.0,,,,NaN,,,,0 / 0,3913,2020-12-03 18:33:40:317
-3.3233,-8.938,0.6144,-2.4342,-9.4812,0.5923,-1.0961,0.41,0.0647,-0.2031,-0.4687,0.1264,0.0,22.31,43.5,12.56,250.1,75.2,76.32,0.0,,,,NaN,,,,0 / 0,4014,2020-12-03 18:33:40:418
-3.3233,-8.938,0.6144,-2.4848,-9.4727,0.5133,-0.3394,0.882,-0.0622,-0.2031,-0.4687,0.1264,0.0,22.31,43.5,12.56,250.1,75.2,76.32,0.0,,,,NaN,,,,0 / 0,4113,2020-12-03 18:33:40:517
-2.8987,-8.4718,0.4859,-2.2526,-9.5293,0.5356,-0.9737,1.0466,0.592,-0.1462,-0.7088,-0.2339,0.0,22.25,43.0,12.0,245.63,75.01,78.33,0.0,,,,NaN,,,,0 / 0,4214,2020-12-03 18:33:40:618
-4.2447,-10.1864,0.726,-1.8016,-9.6199,0.617,-2.6309,-1.4517,-0.2247,-0.1036,-0.2909,-0.5267,0.0,21.06,44.5,10.56,246.53,76.34,76.63,0.0,,,,NaN,,,,0 / 0,4313,2020-12-03 18:33:40:717
-2.229,-10.9001,0.6695,-1.4882,-9.6802,0.4985,-0.4633,-2.1759,0.5115,-0.0866,-0.8839,-0.1008,0.0,19.88,45.0,10.25,247.37,78.8,71.1,0.0,,,,NaN,,,,0 / 0,4414,2020-12-03 18:33:40:818
-2.229,-10.9001,0.6695,-1.3628,-9.7079,0.2614,0.1468,0.4112,-1.0264,-0.0866,-0.8839,-0.1008,0.0,21.5,44.06,10.63,228.74,81.87,79.14,0.0,,,,NaN,,,,0 / 0,4513,2020-12-03 18:33:40:917
1.4858,-9.4202,-0.2709,-1.401,-9.7058,0.0664,2.6269,0.2031,0.1296,-0.3991,-1.0016,0.0732,0.0,21.5,44.06,10.63,228.74,81.87,79.14,0.0,,,,NaN,,,,0 / 0,4613,2020-12-03 18:33:41:017
1.4858,-9.4202,-0.2709,-1.1278,-9.7415,-0.0208,1.8241,0.0035,0.3444,-0.4794,-2.0678,-0.2616,0.0,21.88,44.19,8.25,210.92,81.78,87.29,0.0,,,,NaN,,,,0 / 0,4713,2020-12-03 18:33:41:117
-0.2342,-9.2689,0.9045,-0.9059,-9.762,-0.2287,-1.3299,0.122,1.6212,-0.48,-2.3026,-0.0535,0.0,22.06,44.5,4.88,195.32,83.39,91.06,0.0,,,,NaN,,,,0 / 0,4813,2020-12-03 18:33:41:217
-4.083,-8.8479,0.924,-0.9802,-9.7472,-0.4488,-2.8933,0.8231,0.8313,-0.7568,-1.5578,0.1626,0.0,22.63,44.94,1.5,168.66,84.53,104.17,0.0,,,,NaN,,,,0 / 0,4914,2020-12-03 18:33:41:318
