ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.7767,2.0458,9.783,-1.3664,2.3689,9.4176,-0.4322,-0.3349,-0.2438,-0.059,0.5049,0.7161,9.1,19.94,-10.25,-42.62,274.57,-14.14,5.74,2.0,,,,NaN,,,,0 / 0,16,2020-12-03 18:37:43:459
-2.139,2.0249,9.2032,-2.1063,2.2908,9.2997,-0.2322,-0.5125,0.4364,0.0107,1.0074,0.6261,9.1,21.63,-10.87,-41.81,271.3,-14.05,10.33,2.0,,,,NaN,,,,0 / 0,116,2020-12-03 18:37:43:559
-3.0378,2.3733,8.8871,-2.7166,2.4259,9.1052,-0.3519,-0.0978,-0.7759,0.0107,1.0074,0.6261,9.1,25.38,-12.31,-39.5,264.59,-13.51,12.76,2.0,,,,NaN,,,,0 / 0,217,2020-12-03 18:37:43:660
-2.5658,2.0652,9.4708,-2.7166,2.4259,9.1052,0.17,-0.2439,0.5378,-0.413,0.0338,0.6181,11.3,25.75,-13.0,-38.87,263.73,-14.32,16.61,2.0,,,,NaN,,,,0 / 0,316,2020-12-03 18:37:43:759
-2.5658,2.0652,9.4708,-2.8546,2.4317,9.0613,0.1383,-0.2954,0.4692,-0.0974,0.1668,0.442,11.3,25.94,-14.44,-38.25,257.63,-13.91,16.93,2.0,,,,NaN,,,,0 / 0,416,2020-12-03 18:37:43:859
-2.4328,1.9511,8.9538,-2.8546,2.4317,9.0613,-0.053,-0.4626,1.3871,0.5382,0.606,0.2913,11.3,27.25,-15.81,-35.75,251.58,-14.36,17.49,2.0,,,,NaN,,,,0 / 0,516,2020-12-03 18:37:43:959
-3.4223,2.5811,8.8786,-3.2115,2.7493,8.8485,0.3695,-0.3767,0.305,0.5382,0.606,0.2913,11.3,27.25,-15.81,-35.75,251.58,-14.36,17.49,2.0,,,,NaN,,,,0 / 0,617,2020-12-03 18:37:44:060
-3.6708,2.3046,7.281,-3.2115,2.7493,8.8485,-0.4634,-0.3634,-1.2417,0.2247,0.0907,-0.0755,11.6,27.56,-15.5,-35.87,260.96,-16.28,19.95,2.0,,,,NaN,,,,0 / 0,716,2020-12-03 18:37:44:159
-3.6708,2.3046,7.281,-3.2296,2.8158,8.821,-0.9912,-1.0385,-1.0211,-0.4295,0.4543,-0.0329,11.6,27.75,-15.19,-36.44,262.24,-16.69,20.11,2.0,,,,NaN,,,,0 / 0,817,2020-12-03 18:37:44:260
-4.3762,1.531,7.7327,-5.7658,2.33,7.5826,1.0714,-0.6145,-0.5845,-0.4045,1.7904,-0.4838,11.6,36.06,-14.5,-28.94,262.87,-15.32,23.28,2.0,,,,NaN,,,,0 / 0,917,2020-12-03 18:37:44:360
-4.9189,1.4023,5.5305,-7.2167,1.5498,6.4565,1.6249,-1.0714,-1.9982,-1.0444,2.2041,-0.4199,13.7,41.75,-10.31,-20.81,270.82,-13.74,37.25,2.0,,,,NaN,,,,0 / 0,1017,2020-12-03 18:37:44:460
-6.4989,-1.6603,4.0286,-8.5122,0.1015,4.8683,2.2652,-2.3135,-2.0024,-1.0444,2.2041,-0.4199,13.7,47.25,-2.75,-10.75,279.16,-9.09,48.18,2.0,,,,NaN,,,,0 / 0,1117,2020-12-03 18:37:44:560
-6.4989,-1.6603,4.0286,-8.5122,0.1015,4.8683,0.7851,-3.0291,2.1401,-0.4982,2.0295,-1.3983,13.7,47.25,-2.75,-10.75,279.16,-9.09,48.18,2.0,,,,NaN,,,,0 / 0,1217,2020-12-03 18:37:44:660
-9.3005,-4.648,5.5477,-9.1479,-1.5926,3.1543,-3.1268,-1.762,1.6845,0.6474,-0.5848,-2.6258,13.7,47.88,8.56,-2.5,275.83,9.35,70.98,2.0,,,,NaN,,,,0 / 0,1317,2020-12-03 18:37:44:760
-24.49,-2.4989,5.9402,-8.1377,-4.3112,3.3706,-4.9302,0.5658,-2.0171,-1.7263,-3.2006,0.5734,33.7,42.81,21.75,-7.06,275.83,9.35,70.98,2.0,,,,NaN,,,,0 / 0,1416,2020-12-03 18:37:44:859
-6.2544,-4.9096,8.354,-7.0909,-4.7954,4.7846,-0.6004,0.1204,2.1723,-1.7263,-3.2006,0.5734,33.7,37.81,20.38,-20.5,233.75,29.27,55.99,2.0,,,,NaN,,,,0 / 0,1520,2020-12-03 18:37:44:963
-5.4101,-4.5954,9.0961,-5.2627,-4.9973,6.5954,0.4907,0.1577,1.3995,0.3264,-1.6755,1.4246,33.7,34.38,16.13,-30.06,221.18,30.64,38.59,2.0,,,,NaN,,,,0 / 0,1617,2020-12-03 18:37:45:060
-5.4101,-4.5954,9.0961,-4.8217,-4.1797,7.4465,-0.2925,-0.3677,-0.644,0.5995,-1.5999,1.8249,28.0,29.75,7.31,-36.12,202.59,25.23,32.92,2.0,,,,NaN,,,,0 / 0,1716,2020-12-03 18:37:45:159
-2.9929,-3.8771,9.0267,-4.1756,-2.9183,8.3795,1.1161,-0.2053,-2.106,0.5265,-0.9739,0.9822,28.0,29.75,7.31,-36.12,202.59,25.23,32.92,2.0,,,,NaN,,,,0 / 0,1816,2020-12-03 18:37:45:259
-2.0758,-2.1273,8.0759,-3.5812,-1.7488,8.9602,0.2861,0.25,-1.4841,0.5265,-0.9739,0.9822,28.0,25.06,0.0,-40.44,197.98,17.31,26.49,2.0,,,,NaN,,,,0 / 0,1917,2020-12-03 18:37:45:360
-3.1034,-1.3773,8.9869,-2.6916,-1.4858,9.3122,-0.0969,0.0085,-0.6566,0.5356,-0.1818,0.1465,28.0,21.13,-2.12,-42.31,223.49,8.71,16.12,2.0,,,,NaN,,,,0 / 0,2017,2020-12-03 18:37:45:460
-3.1034,-1.3773,8.9869,-3.0162,-1.0907,9.2673,-0.1427,-0.1336,-1.2566,0.262,0.5065,-0.2948,13.8,23.38,-4.0,-41.62,223.93,6.39,18.03,2.0,,,,NaN,,,,0 / 0,2116,2020-12-03 18:37:45:559
-2.9257,-1.7533,5.6298,-3.6574,-0.7534,9.0678,1.12,-1.475,-2.4666,-0.0931,2.9392,-1.3323,13.8,32.44,-3.69,-34.62,245.95,4.41,21.97,2.0,,,,NaN,,,,0 / 0,2216,2020-12-03 18:37:45:659
-4.4904,-3.4841,6.7929,-5.7878,-1.0819,7.8422,0.8739,-1.1723,0.1911,-0.0931,2.9392,-1.3323,13.8,43.25,7.13,-20.81,275.87,6.33,36.43,2.0,,,,NaN,,,,0 / 0,2317,2020-12-03 18:37:45:760
-8.5535,-4.8261,4.0035,-7.437,-2.6575,5.8136,-0.5924,-0.8094,-0.8432,1.0328,2.8364,-2.0057,26.3,43.25,7.13,-20.81,275.87,6.33,36.43,2.0,,,,NaN,,,,0 / 0,2417,2020-12-03 18:37:45:860
-8.5535,-4.8261,4.0035,-8.211,-3.5626,4.0069,-6.9049,-4.8042,2.7198,-0.4433,0.1615,-2.6136,26.3,44.94,17.5,-4.5,275.1,21.3,63.99,2.0,,,,NaN,,,,0 / 0,2517,2020-12-03 18:37:45:960
-13.8144,-7.863,4.9876,-7.3618,-5.6271,3.2107,-2.2536,-1.8991,-3.9931,-0.1628,-0.2846,-0.0382,26.3,41.0,25.06,-3.87,261.03,35.02,66.44,2.0,,,,NaN,,,,0 / 0,2616,2020-12-03 18:37:46:059
-5.2353,-7.9298,6.6192,-7.1884,-5.6225,3.5894,1.1629,0.1064,1.8373,-0.1628,-0.2846,-0.0382,26.3,41.0,25.06,-3.87,261.03,35.02,66.44,0.0,,,,NaN,,,,0 / 0,2716,2020-12-03 18:37:46:159
-5.2353,-7.9298,6.6192,-5.3298,-6.6246,4.8863,1.1629,0.1064,1.8373,-1.0544,-1.8528,-0.9623,2.3,34.88,30.19,-14.87,321.49,34.98,63.47,0.0,,,,NaN,,,,0 / 0,2822,2020-12-03 18:37:46:265
-6.5471,-5.8089,3.9808,-4.5736,-7.1172,4.9595,-1.337,0.9499,0.5743,-0.3123,-3.1927,-1.0198,2.3,32.5,32.69,-17.69,321.49,34.98,63.47,0.0,,,,NaN,,,,0 / 0,2916,2020-12-03 18:37:46:359
-2.386,-5.5387,7.4316,-3.2337,-7.3476,5.6324,0.8948,1.8314,1.6917,0.5724,1.3214,1.2947,2.3,27.81,33.25,-23.06,254.6,48.53,29.86,0.0,,,,NaN,,,,0 / 0,3017,2020-12-03 18:37:46:460
-8.6973,-1.6488,4.5242,-4.6053,-6.7079,5.4739,1.6301,3.4935,-2.8413,0.5724,1.3214,1.2947,0.2,39.63,26.81,-11.31,261.12,43.16,40.07,0.0,,,,NaN,,,,0 / 0,3116,2020-12-03 18:37:46:559
