ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.2461,0.7335,9.2375,3.1474,0.7147,9.2603,0.0201,0.0305,0.0167,-0.024,0.0129,0.0156,1.7,-6.75,6.25,-47.56,317.1,-4.34,-18.89,5.0,,,,NaN,,,,0 / 0,26,2020-12-03 18:29:15:992
3.2204,0.6961,9.2839,3.1289,0.6798,9.2692,0.0484,-0.013,0.0275,-0.0597,0.0262,-0.0211,1.2,-7.25,5.94,-47.56,317.01,-4.18,-18.77,5.0,,,,NaN,,,,0 / 0,125,2020-12-03 18:29:16:091
3.196,0.6349,9.2694,3.1044,0.623,9.2813,0.014,0.0339,0.0741,-0.0597,0.0262,-0.0211,1.2,-6.44,6.44,-47.06,314.56,-3.97,-18.65,5.0,,,,NaN,,,,0 / 0,225,2020-12-03 18:29:16:191
3.1583,0.6648,9.393,3.1136,0.6275,9.278,0.0735,0.0295,-0.099,0.0292,-0.0228,-0.0019,1.2,-6.69,6.31,-47.12,317.2,-3.67,-18.55,5.0,,,,NaN,,,,0 / 0,325,2020-12-03 18:29:16:291
3.1583,0.6648,9.393,3.1013,0.6417,9.2811,0.0367,0.0545,0.0155,-6.0E-4,-0.0025,-0.0077,1.2,-6.31,6.25,-47.44,314.45,-3.75,-18.48,5.0,,,,NaN,,,,0 / 0,426,2020-12-03 18:29:16:392
3.1614,0.6819,9.3078,3.0995,0.6348,9.2822,0.0777,0.032,-0.0051,-0.0022,0.0139,0.0023,1.2,-6.37,5.5,-47.62,313.6,-3.71,-18.47,5.0,,,,NaN,,,,0 / 0,525,2020-12-03 18:29:16:491
3.1628,0.7118,9.3184,3.092,0.6295,9.285,0.0558,0.1059,-0.0276,-0.0022,0.0139,0.0023,1.2,-6.37,5.5,-47.62,313.6,-3.71,-18.47,5.0,,,,NaN,,,,0 / 0,625,2020-12-03 18:29:16:591
3.3181,0.8112,9.2424,3.0861,0.6308,9.2869,0.0617,0.1438,0.0195,0.0052,-0.0057,0.029,1.2,-6.94,6.06,-46.87,317.61,-3.68,-18.42,5.0,,,,NaN,,,,0 / 0,726,2020-12-03 18:29:16:692
3.3181,0.8112,9.2424,3.0767,0.5092,9.2975,0.2967,0.3047,-0.4813,-0.9492,0.1108,-0.5587,1.2,-6.25,7.0,-46.62,317.54,-3.69,-18.38,5.0,,,,NaN,,,,0 / 0,825,2020-12-03 18:29:16:791
2.593,0.2014,9.119,2.7349,0.0038,9.4175,-0.2048,-0.4059,-0.8563,0.3475,0.4233,-1.0383,1.2,-4.44,9.25,-46.5,315.1,-0.02,-16.19,5.0,,,,NaN,,,,0 / 0,925,2020-12-03 18:29:16:891
1.9412,0.5283,10.3256,2.1771,0.4961,9.549,-0.3628,-0.0156,0.6302,0.3475,0.4233,-1.0383,1.2,-4.44,7.88,-47.44,327.69,-2.9,-12.84,5.0,,,,NaN,,,,0 / 0,1025,2020-12-03 18:29:16:991
2.4367,1.7445,9.1079,2.3503,1.0133,9.4667,0.0523,-0.3367,0.8204,0.8181,-0.3672,-0.2462,1.2,-6.37,2.19,-48.37,320.44,-5.93,-13.94,5.0,,,,NaN,,,,0 / 0,1125,2020-12-03 18:29:17:091
2.4367,1.7445,9.1079,2.6075,2.1316,9.2101,-0.048,-0.1115,-0.2272,0.6605,-0.4071,-0.5864,1.2,-6.37,2.19,-48.37,320.44,-5.93,-13.94,5.0,,,,NaN,,,,0 / 0,1225,2020-12-03 18:29:17:191
2.4277,3.1779,8.8403,2.803,2.7539,8.9849,0.1094,1.0314,-0.002,-0.4834,-0.1292,0.3601,1.2,-8.37,-1.5,-47.37,331.3,-12.55,-15.81,5.0,,,,NaN,,,,0 / 0,1325,2020-12-03 18:29:17:291
3.0494,1.9205,8.5813,2.8578,2.4545,9.0541,0.5842,-0.503,-0.6204,-0.4834,-0.1292,0.3601,1.2,-8.0,-0.12,-47.12,334.39,-16.31,-17.33,5.0,,,,NaN,,,,0 / 0,1425,2020-12-03 18:29:17:391
1.7415,1.6306,9.4597,1.9425,1.9846,9.4052,-0.1479,-0.1802,0.6073,-0.213,0.6708,-0.07,1.2,-3.06,2.81,-47.56,331.7,-11.68,-11.67,5.0,,,,NaN,,,,0 / 0,1525,2020-12-03 18:29:17:491
1.7415,1.6306,9.4597,1.5612,1.9779,9.4773,0.2235,0.0814,0.2606,0.1346,0.0294,0.0641,1.2,-2.37,2.25,-48.0,333.28,-11.64,-9.35,5.0,,,,NaN,,,,0 / 0,1625,2020-12-03 18:29:17:591
1.7906,2.3909,9.4232,1.5986,2.0406,9.4578,-0.0786,-0.1381,0.2605,0.0063,-0.1463,0.0045,1.2,-3.06,2.06,-48.31,337.05,-12.01,-9.59,5.0,,,,NaN,,,,0 / 0,1725,2020-12-03 18:29:17:691
1.7607,2.1035,9.6324,1.7526,2.0336,9.432,-0.1247,0.0649,0.0804,0.3938,-0.446,0.2818,1.2,-3.06,2.06,-48.31,337.05,-12.01,-9.59,5.0,,,,NaN,,,,0 / 0,1825,2020-12-03 18:29:17:791
2.1328,2.0356,8.8666,2.0632,2.1611,9.3403,0.2804,-0.0331,-0.7595,0.3938,-0.446,0.2818,2.2,-4.37,1.88,-47.75,337.87,-11.97,-10.53,5.0,,,,NaN,,,,0 / 0,1925,2020-12-03 18:29:17:891
2.1709,2.6327,9.5312,2.0963,2.2119,9.3211,0.1297,-0.0446,0.2109,0.0531,0.0193,0.1817,2.2,-4.44,1.19,-48.37,330.71,-12.73,-12.46,5.0,,,,NaN,,,,0 / 0,2025,2020-12-03 18:29:17:991
2.1709,2.6327,9.5312,1.8685,2.1111,9.3926,0.132,0.2032,-0.2332,-0.1944,0.4973,-0.0205,2.2,-2.25,1.94,-48.31,328.69,-12.43,-11.25,5.0,,,,NaN,,,,0 / 0,2125,2020-12-03 18:29:18:091
