ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.8228,4.6425,8.6936,-1.7874,3.8993,8.8188,0.6861,0.5349,0.2124,-0.5102,-0.506,0.7145,56.0,46.38,-16.44,-24.18,266.8,-23.58,8.89,3.1,995.27,25.678,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,58,2020-12-05 13:02:30:904
-1.0655,4.9154,9.2036,-0.6534,4.6726,8.5971,-0.0051,0.3027,-0.5428,0.1538,-0.1096,-0.0949,43.0,38.64,-21.3,-21.42,259.74,-24.93,1.89,3.1,995.19,37.746,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,559,2020-12-05 13:02:31:405
-0.7207,4.7119,8.6218,-0.887,4.4735,8.6817,0.1663,0.2384,-0.0599,-0.2445,-0.1071,0.0896,38.0,38.52,-19.68,-21.36,260.5,-27.87,5.5,3.1,995.21,33.206,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,1059,2020-12-05 13:02:31:905
4.3911,8.7295,5.6361,1.9966,5.4451,7.9079,2.3945,3.2845,-2.2718,1.0041,-2.5115,-1.7571,38.0,15.96,-38.28,6.0,200.78,-33.73,-14.17,3.1,995.26,41.992,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,1558,2020-12-05 13:02:32:404
5.2746,6.0288,2.2099,8.0666,3.8123,4.0702,-3.9819,-1.8873,-0.6416,-0.352,0.5312,-0.3594,18.0,-56.28,-18.0,9.36,87.8,-22.88,-63.23,3.1,995.21,63.025,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,2058,2020-12-05 13:02:32:904
8.7439,4.9514,5.0136,4.1853,8.8236,0.8926,7.3001,-4.1141,0.0172,2.8196,1.5898,-1.561,25.0,-27.42,-41.58,23.76,88.18,-64.13,-77.96,3.1,995.41,61.206,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,2559,2020-12-05 13:02:33:405
-3.8596,8.5116,-0.4645,-2.6674,9.2869,-1.6759,-3.8379,4.5664,1.4748,0.2332,0.8922,0.1952,1.0,4.98,-34.74,40.08,292.49,-71.26,122.14,0.0,995.07,68.848,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,3058,2020-12-05 13:02:33:904
3.2754,7.4869,-0.3544,1.9103,9.5551,-1.1052,0.1464,0.1944,0.5162,0.2216,-0.6068,0.3828,0.0,-19.02,-34.14,34.92,39.23,-76.99,-120.05,0.0,995.26,62.422,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,3560,2020-12-05 13:02:34:406
-2.0543,11.5069,0.9912,2.34,9.5103,-0.4981,-2.4813,-1.602,-0.8906,-1.6018,-0.0027,0.3034,0.0,-11.46,-33.24,28.38,72.24,-75.88,-102.02,0.0,995.28,49.092,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,4059,2020-12-05 13:02:34:905
1.4366,7.4869,0.6488,1.4099,9.7019,-0.2344,2.7897,-0.6827,0.0069,0.166,2.1922,0.216,0.0,-26.4,-31.8,17.82,29.73,-81.62,-99.44,0.0,995.26,50.603,55.701344,13.16937,239.35,NaN,,,61.135483,,0 / 4,4559,2020-12-05 13:02:35:405
