ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.2785,3.4717,9.5508,0.6819,3.8319,9.0012,0.1394,-0.4153,0.3556,-0.294,-1.2415,-1.1419,7.0,2.4,-1.92,-45.66,346.15,-23.73,-2.62,3.1,995.67,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,41,2020-12-05 14:43:22:714
0.5052,3.5292,9.048,0.6312,3.6871,9.0652,-0.7174,-0.0718,0.2965,-0.1571,0.0425,-0.7308,7.0,-0.66,0.3,-46.8,350.41,-22.6,-4.76,3.1,995.67,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,141,2020-12-05 14:43:22:814
-0.7877,2.502,9.7591,-0.081,3.4474,9.1804,-1.0565,-0.842,-0.3565,-0.407,0.07,-0.9538,8.0,0.9,0.78,-47.1,352.96,-21.74,-1.54,3.1,995.67,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,242,2020-12-05 14:43:22:915
-0.9457,2.1189,9.9769,-0.2918,3.2179,9.2591,-0.5105,-0.9762,1.0867,-0.2011,-0.3741,-0.5897,8.0,0.36,2.1,-47.46,3.35,-20.27,1.29,3.1,995.68,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,341,2020-12-05 14:43:23:014
-0.2897,2.7079,10.0248,-0.2339,3.1589,9.281,-0.152,-0.2683,0.4795,-0.1773,-0.1817,-0.5378,8.0,-0.36,2.22,-47.82,3.76,-19.1,1.38,3.1,995.66,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,441,2020-12-05 14:43:23:114
-0.8548,2.8181,9.5268,-0.2874,3.0806,9.3058,-0.5517,-0.2374,0.1815,-0.0325,-0.2159,-0.66,8.0,-1.8,3.06,-47.82,7.79,-18.36,1.56,3.1,995.66,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,541,2020-12-05 14:43:23:214
-0.9002,3.0527,9.3281,-0.4097,3.1491,9.2782,-0.4906,-0.0964,0.0499,0.2344,-0.2904,-0.6154,8.0,-2.64,3.3,-47.58,15.83,-18.45,2.51,3.1,995.66,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,642,2020-12-05 14:43:23:315
-1.0152,3.364,9.0192,-0.526,3.2847,9.2252,-0.4006,-0.0046,-0.1605,0.1703,-0.2586,-0.6343,8.0,-3.42,1.56,-47.46,18.68,-18.87,3.04,3.1,995.66,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,741,2020-12-05 14:43:23:414
-0.8021,3.6297,9.1773,-0.4647,3.436,9.1733,-0.4476,0.1914,-0.0822,0.2595,-0.528,-0.7424,8.0,-5.04,0.3,-48.36,25.26,-20.07,3.25,3.1,995.67,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,841,2020-12-05 14:43:23:514
-0.5196,4.008,9.3784,-0.1557,3.7303,9.0681,-0.3638,0.2777,0.3103,0.4574,-0.9862,-0.7907,8.0,-7.14,-0.96,-48.78,29.87,-20.8,2.61,3.1,995.68,0.0,55.701344,13.16936,239.35,NaN,,,50.94516,,0 / 0,942,2020-12-05 14:43:23:615
