sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.364;2.5068;8.0807;-2.4101;2.9067;9.0506;-0.0488;0.3807;-0.9723;0.0938;-1.2183;0.0829;15.0;19.86;-2.22;-43.8;336.25;-17.21;18.01;3.1;996.7;60.939;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;53;2020-12-03 17:38:52:134
1.2043;3.0431;8.4255;1.1127;1.9296;9.5503;1.2001;0.2971;-0.5311;1.1774;2.6882;0.4818;13.0;0.48;4.14;-47.4;337.46;-11.35;-6.65;3.1;996.75;60.686;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;552;2020-12-03 17:38:52:633
5.2052;1.6377;10.542;3.9994;2.3968;8.6273;0.1259;0.5434;0.0711;1.5904;0.2618;-0.8346;11.0;-16.14;5.76;-42.3;354.25;-11.29;-22.74;3.1;996.76;61.011;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;1053;2020-12-03 17:38:53:134
6.2586;1.4629;5.2219;3.4338;3.8777;8.3272;5.2095;-2.6591;-5.2817;0.6875;-1.4864;-2.4008;8.0;-15.9;-4.38;-42.42;355.05;-23.29;-22.41;3.1;996.77;60.446;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;1553;2020-12-03 17:38:53:634
6.3233;5.5451;8.4398;7.7708;3.3546;4.953;0.7145;1.0317;3.2522;-1.7297;0.3828;2.8331;8.0;-39.6;-5.46;-17.82;31.91;-20.0;-57.49;3.1;996.81;60.952;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;2053;2020-12-03 17:38:54:134
2.5667;6.3185;8.5859;0.2824;9.6937;1.4569;2.2843;-3.3752;7.129;0.9349;-0.7583;-0.1785;8.0;-17.34;-44.7;-5.46;85.5;-81.3;-10.97;0.0;996.77;63.141;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;2552;2020-12-03 17:38:54:633
1.5826;4.7239;2.775;-3.623;9.0363;1.1785;5.2056;-4.3124;1.5965;0.4865;0.3602;0.8484;0.0;2.52;-47.76;-4.92;165.31;-67.14;71.98;0.0;996.82;69.133;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;3053;2020-12-03 17:38:55:134
-2.9713;8.799;-0.2801;-3.0625;9.2851;-0.7609;0.2851;0.0861;0.3538;0.2306;0.0768;-0.0221;0.0;-5.22;-45.6;4.32;195.39;-71.23;103.95;0.0;996.86;47.574;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;3553;2020-12-03 17:38:55:634
-2.4446;9.1389;-0.182;-2.3936;9.5053;-0.3005;-0.173;-0.067;0.2071;-0.0168;-0.123;0.0952;0.0;-7.02;-44.22;8.1;207.9;-75.6;97.35;0.0;996.85;52.902;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;4053;2020-12-03 17:38:56:134
-2.1405;9.8093;-1.3025;-2.3749;9.4785;-0.8297;0.1602;-0.0211;-0.1137;-0.0186;0.4573;-0.151;0.0;-5.34;-46.5;4.62;203.33;-75.14;109.26;0.0;996.82;49.367;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;4552;2020-12-03 17:38:56:633
-3.8883;9.0695;-2.3368;-2.7341;9.3251;-1.3179;-0.9603;-0.5549;-0.8059;-0.2715;0.3022;-0.1742;0.0;-1.02;-47.34;-0.24;181.61;-71.97;115.73;0.0;996.82;52.502;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;5053;2020-12-03 17:38:57:134
-2.2985;9.4287;-1.7335;-3.138;9.1451;-1.6402;0.6719;0.286;-0.0669;-0.318;0.1391;0.0585;0.0;-2.04;-46.8;-1.74;177.51;-68.83;117.6;0.0;996.83;52.833;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;5553;2020-12-03 17:38:57:634
-2.6672;9.6609;0.7303;-2.5677;9.4496;0.5321;-0.0995;0.2113;0.1982;0.0253;-0.1651;0.1159;0.0;-5.16;-44.4;-8.4;149.33;-74.49;78.29;0.0;996.85;61.643;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;6054;2020-12-03 17:38:58:135
-2.8252;9.4694;-0.3424;-2.4005;9.4959;-0.4864;-0.4248;-0.0265;0.144;0.2465;-0.1071;0.0158;0.0;-6.72;-46.8;-1.62;178.26;-75.54;101.45;0.0;996.81;61.659;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;6552;2020-12-03 17:38:58:633
-2.4254;9.5196;-0.589;-2.3871;9.485;-0.7112;0.668;0.6619;-0.3877;0.2129;0.0688;-0.1632;0.0;-4.5;-45.48;-1.44;180.68;-75.29;106.59;0.0;996.82;59.769;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;7053;2020-12-03 17:38:59:134
-2.3224;9.534;-3.1054;-2.3065;9.295;-2.1102;-0.016;0.239;-0.9952;-0.0028;0.632;-0.2897;0.0;-0.12;-46.68;-0.54;177.15;-72.31;132.04;0.0;996.82;63.055;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;7552;2020-12-03 17:38:59:633
-0.1437;9.1581;-4.0032;-1.4968;9.0641;-3.4311;0.3931;0.185;-0.1172;-0.0083;0.238;-0.0881;0.0;0.24;-47.34;3.06;184.45;-67.56;156.43;0.0;996.86;63.271;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;8055;2020-12-03 17:39:00:136
-2.3751;9.7303;-2.3153;-2.3037;9.3086;-2.0525;-0.275;-0.0739;-0.4711;-0.4927;-0.3154;-0.1504;0.0;1.5;-46.56;-4.98;162.97;-71.66;131.7;0.0;996.84;61.227;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;8553;2020-12-03 17:39:00:634
-2.7726;9.2658;0.0646;-2.4021;9.4935;-0.5233;-0.3704;-0.2276;0.588;-0.0516;-0.2049;0.1294;0.0;-2.58;-43.44;-7.08;158.83;-74.96;104.18;0.0;996.8;61.91;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;9052;2020-12-03 17:39:01:133
