sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.2131;3.4573;9.9841;0.219;2.8846;9.3703;-0.1305;0.1945;0.2332;0.0397;0.1553;0.1097;8.0;11.7;-37.92;-51.72;212.04;-17.11;-1.34;3.1;997.01;24.058;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 0;48;2020-12-03 17:23:03:831
-0.838;1.4078;10.3097;-0.348;1.9414;9.6063;-0.8037;-0.0834;-0.362;0.6017;-0.4141;-0.5519;10.0;15.24;-29.82;-53.4;215.17;-11.11;1.62;3.1;997.01;23.428;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 0;548;2020-12-03 17:23:04:331
2.5643;1.1852;9.4023;2.5562;2.3232;9.1782;0.008;-1.138;0.2241;-0.347;-0.2455;-1.613;22.0;4.8;-28.98;-54.96;230.84;-13.7;-15.56;3.1;996.95;20.901;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 0;1048;2020-12-03 17:23:04:831
8.8037;5.7367;6.5244;8.2388;4.5095;2.8208;-0.2754;0.5256;1.2614;-0.0807;-2.6028;0.2624;77.0;-25.5;-30.66;-37.92;248.46;-27.38;-71.1;3.1;996.94;28.547;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 0;1548;2020-12-03 17:23:05:331
8.5164;0.5124;-0.589;9.3496;0.5531;2.9066;-0.103;-1.9274;3.5436;-0.2682;-0.2962;0.541;49.0;-38.52;-8.22;-30.36;257.94;-5.25;-73.39;3.1;996.99;54.95;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;2051;2020-12-03 17:23:05:834
1.9777;7.0296;-1.3983;6.0923;7.5491;1.4369;-1.9119;1.1421;0.9286;0.8515;-1.9986;-2.3649;27.0;-26.88;-35.76;-22.62;274.65;-50.34;-76.73;0.0;997.01;51.363;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;2548;2020-12-03 17:23:06:331
4.7742;4.2043;1.0224;1.4805;9.6942;0.0398;-0.5372;0.9364;0.3888;0.1356;0.5432;0.0962;0.0;-8.28;-46.02;-13.74;275.51;-81.31;-88.46;0.0;997.11;66.859;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;3048;2020-12-03 17:23:06:831
0.8619;10.0009;-0.3831;0.352;9.6892;-1.4716;0.4214;-0.0594;0.9401;0.5858;-0.2864;0.0352;0.0;-2.82;-46.08;-5.88;201.17;-82.53;-166.75;0.0;997.04;71.453;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;3548;2020-12-03 17:23:07:331
-0.5842;9.7184;0.091;-0.2703;9.7997;-0.2498;0.4068;-1.1301;-0.162;-0.559;0.2707;-0.2666;0.0;1.32;-44.4;-10.56;133.73;-87.85;132.74;0.0;997.06;53.036;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;4048;2020-12-03 17:23:07:831
1.0152;9.218;-0.826;-0.187;9.7903;-0.5344;1.9276;0.3902;-1.2517;0.6249;-0.0787;0.1127;0.0;0.24;-43.14;-6.3;166.31;-86.69;160.71;0.0;997.03;43.495;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;4548;2020-12-03 17:23:08:331
0.7159;6.7183;-3.0551;0.21;9.7017;-1.4149;0.5059;-2.9834;-1.6402;-1.0477;-0.1288;-0.1438;0.0;1.68;-44.76;-4.68;173.95;-81.61;-171.56;0.0;997.02;46.406;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;5048;2020-12-03 17:23:08:831
-0.7686;14.9379;-0.4956;-0.3242;9.7951;0.3465;-2.1539;0.3877;2.3471;-0.5284;-0.0408;0.1341;0.0;0.72;-42.9;-12.42;45.44;-87.23;43.1;0.0;996.99;49.925;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;5548;2020-12-03 17:23:09:331
-1.0559;9.3592;-0.0144;0.4441;9.6381;-1.7548;-0.7266;0.4322;1.319;0.521;-0.7513;0.1469;0.0;-1.86;-46.14;-7.32;193.99;-79.36;-165.8;0.0;996.98;56.081;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;6048;2020-12-03 17:23:09:831
-1.9154;8.8756;0.8332;-0.3498;9.8004;-0.0245;-1.513;-1.0014;0.7356;0.4233;0.4741;0.4554;0.0;-5.94;-42.6;-19.5;114.83;-87.54;92.49;0.0;997.0;59.783;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;6548;2020-12-03 17:23:10:331
0.3137;10.1709;-0.7542;0.182;9.7474;-1.0603;0.5674;-0.1272;0.4306;0.3598;-0.3188;0.2215;0.0;-11.04;-51.12;-23.52;208.67;-83.7;-170.26;0.0;996.99;62.938;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;7049;2020-12-03 17:23:10:832
-1.336;10.2786;-0.8715;0.0953;9.7849;-0.6461;-1.5534;2.3972;0.2822;-0.9304;0.0423;-0.087;0.0;-16.5;-53.46;-28.08;214.63;-86.18;-171.61;0.0;997.02;53.52;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 1;7548;2020-12-03 17:23:11:331
