ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9058,3.4693,9.2204,0.3945,4.8232,8.5294,1.5114,-1.3539,0.6909,0.5563,-1.8609,-2.5292,10.0,4.14,-17.28,-39.0,309.1,-28.94,-1.26,3.1,995.68,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,29,2020-12-05 14:33:41:002
-0.1413,4.5419,8.3081,0.7978,4.6836,8.5789,-0.939,-0.1416,-0.2708,-0.4119,-1.7748,-2.0595,10.0,0.12,-15.9,-38.76,321.57,-29.55,-3.64,3.1,995.65,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,129,2020-12-05 14:33:41:102
0.6608,3.4741,11.3225,1.3131,4.2581,8.7358,-0.6523,-0.784,2.5867,-0.6819,-1.5213,-1.2592,11.0,-2.7,-13.56,-39.3,338.09,-26.69,-7.37,3.1,995.67,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,228,2020-12-05 14:33:41:201
0.1891,2.6361,8.5763,1.8403,4.287,8.6259,-1.6511,-1.6509,-0.0496,-0.4504,-0.4315,-1.5243,13.0,-8.1,-13.26,-38.34,5.76,-25.78,-9.68,3.1,995.67,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,329,2020-12-05 14:33:41:302
2.1884,3.1604,9.1006,2.4142,4.1222,8.5644,0.3414,-1.921,2.0729,0.2863,-1.4425,-1.9996,13.0,-13.44,-12.66,-37.68,29.81,-24.09,-15.21,3.1,995.65,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,429,2020-12-05 14:33:41:402
0.2203,4.3432,8.8875,2.5615,4.2729,8.447,-2.3412,0.0703,0.4406,-0.5408,-0.7449,-1.3386,11.0,-17.64,-15.9,-34.08,66.41,-25.72,-16.11,3.1,995.67,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,528,2020-12-05 14:33:41:501
2.0782,4.1086,9.6465,2.3596,4.0441,8.6167,-0.2814,0.0645,1.0298,-0.1462,-0.0436,-0.3692,11.0,-19.14,-16.08,-33.18,85.02,-24.53,-16.1,3.1,995.67,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,628,2020-12-05 14:33:41:601
0.3711,4.178,9.9291,1.8548,4.2608,8.6357,-0.9521,-0.0685,1.1856,0.2808,-0.2061,-1.2024,11.0,-16.74,-17.34,-32.94,78.6,-24.89,-12.76,3.1,995.69,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,729,2020-12-05 14:33:41:702
-0.3136,4.0942,9.9219,1.3491,4.3806,8.6695,-1.6627,-0.2864,1.2523,-0.1498,-0.3863,-0.7748,11.0,-15.18,-19.08,-33.48,90.99,-26.7,-10.82,3.1,995.69,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,828,2020-12-05 14:33:41:801
0.735,4.2881,9.6034,1.2532,4.3828,8.6828,-0.5182,-0.0946,0.9206,-0.1932,-0.5195,-0.6697,12.0,-14.7,-20.28,-32.94,103.26,-26.48,-8.31,3.1,995.65,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,929,2020-12-05 14:33:41:902
0.8979,4.2067,9.2419,1.0326,4.3726,8.7169,-0.0414,0.1071,0.2472,0.0481,-0.2098,-0.8634,12.0,-14.34,-21.06,-31.44,102.39,-26.87,-7.71,3.1,995.64,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,1029,2020-12-05 14:33:42:002
0.3352,3.9075,10.1733,0.7901,4.2013,8.8258,-0.4717,-0.0066,1.5079,-0.1193,-0.1291,-0.7424,12.0,-14.34,-22.26,-32.04,116.05,-25.94,-5.74,3.1,995.63,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,1129,2020-12-05 14:33:42:102
-0.1796,5.004,8.3967,0.7581,4.0869,8.8822,-0.0302,0.309,-0.1407,-0.6892,0.1128,-0.9037,13.0,-12.6,-22.62,-32.28,119.55,-25.66,-5.02,3.1,995.64,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,1229,2020-12-05 14:33:42:202
1.0487,3.9553,8.198,1.3551,3.7595,8.9555,-0.7757,0.6891,-0.3888,-0.4687,-1.2629,0.0957,13.0,-12.84,-20.64,-32.52,123.23,-23.08,-6.88,3.1,995.64,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,1328,2020-12-05 14:33:42:301
2.3823,3.9386,11.8541,2.2692,3.338,8.9375,0.9319,-0.3452,3.0267,0.9607,-0.3539,2.0944,13.0,-18.0,-18.66,-31.86,122.01,-21.24,-10.51,3.1,995.65,0.0,55.701347,13.169366,214.19,NaN,,,60.290325,,0 / 0,1429,2020-12-05 14:33:42:402
